epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,26147.5,1.49605,1.42342,1.71241,0.70137,0.51877,0.59253,0.32863,1.6214,1.33117,1.70463,0.005842,0.005842,0.005842
44,26742.8,1.49326,1.42685,1.71102,0.69933,0.5225,0.59437,0.33072,1.61963,1.32766,1.70107,0.005743,0.005743,0.005743
45,27338.9,1.48432,1.40772,1.70325,0.70654,0.52337,0.59737,0.33374,1.61739,1.31762,1.70114,0.005644,0.005644,0.005644
46,27933.7,1.48604,1.41496,1.70515,0.6966,0.52935,0.59944,0.33462,1.61344,1.31413,1.69686,0.005545,0.005545,0.005545
47,28528.1,1.48145,1.40975,1.69779,0.71613,0.52406,0.60234,0.33614,1.60902,1.31096,1.6894,0.005446,0.005446,0.005446
48,29124,1.47773,1.40007,1.69528,0.71418,0.52935,0.60443,0.33888,1.60317,1.30852,1.68328,0.005347,0.005347,0.005347
49,29719.1,1.47705,1.39018,1.69131,0.69947,0.53661,0.6045,0.33864,1.60869,1.30421,1.68768,0.005248,0.005248,0.005248
50,30315.2,1.47707,1.39627,1.69463,0.71516,0.52966,0.60688,0.34051,1.60406,1.29425,1.68573,0.005149,0.005149,0.005149
51,30910.7,1.46735,1.38838,1.6969,0.71508,0.52977,0.60789,0.34253,1.59866,1.28967,1.67892,0.00505,0.00505,0.00505
52,31506.7,1.46681,1.3816,1.68424,0.72167,0.52975,0.61025,0.34487,1.5918,1.28252,1.67717,0.004951,0.004951,0.004951
53,32102.9,1.45986,1.37139,1.67739,0.70886,0.5376,0.61064,0.34457,1.5915,1.28169,1.67474,0.004852,0.004852,0.004852
54,32698.8,1.45032,1.36355,1.67767,0.71393,0.53914,0.61292,0.34449,1.59409,1.27772,1.67272,0.004753,0.004753,0.004753
55,33294.9,1.44584,1.36116,1.66862,0.71886,0.53651,0.6131,0.34547,1.58774,1.2764,1.66655,0.004654,0.004654,0.004654
56,33891.7,1.445,1.35408,1.6693,0.71508,0.54038,0.61502,0.34631,1.58653,1.27527,1.66504,0.004555,0.004555,0.004555
57,34490.8,1.44619,1.34946,1.67279,0.71495,0.54346,0.6161,0.34792,1.58229,1.27469,1.66333,0.004456,0.004456,0.004456
58,35086.6,1.43587,1.34949,1.66571,0.71642,0.54149,0.61843,0.34947,1.57937,1.26648,1.66231,0.004357,0.004357,0.004357
59,35681.9,1.43679,1.33652,1.6603,0.71725,0.54564,0.61906,0.34986,1.58224,1.25847,1.66186,0.004258,0.004258,0.004258
60,36277.3,1.43406,1.33923,1.66117,0.71725,0.54197,0.62116,0.35138,1.57748,1.25827,1.65675,0.004159,0.004159,0.004159
61,36871.1,1.43597,1.33692,1.66215,0.71213,0.5493,0.6221,0.35263,1.57722,1.25418,1.65655,0.00406,0.00406,0.00406
62,37465.9,1.42591,1.32284,1.65219,0.73558,0.53723,0.62176,0.35323,1.57733,1.25473,1.65481,0.003961,0.003961,0.003961
63,38062.2,1.42625,1.32372,1.64895,0.73115,0.54117,0.6229,0.35452,1.57711,1.25034,1.65543,0.003862,0.003862,0.003862
64,38657.2,1.42231,1.32119,1.65114,0.73199,0.54357,0.62396,0.35491,1.57265,1.24678,1.65007,0.003763,0.003763,0.003763
65,39252.1,1.42455,1.31426,1.64673,0.71866,0.54792,0.62329,0.35636,1.57114,1.24402,1.64551,0.003664,0.003664,0.003664
66,39847.7,1.41982,1.31014,1.64446,0.71729,0.5474,0.62353,0.3562,1.56988,1.24246,1.64456,0.003565,0.003565,0.003565
67,40449.2,1.41823,1.30444,1.64746,0.71469,0.55156,0.62477,0.35697,1.56908,1.23844,1.64382,0.003466,0.003466,0.003466
68,41043.3,1.41161,1.30186,1.6384,0.72201,0.54864,0.62567,0.35753,1.56515,1.23409,1.64152,0.003367,0.003367,0.003367
69,41638.9,1.40756,1.29357,1.63293,0.72415,0.55133,0.62658,0.35886,1.5624,1.23075,1.63853,0.003268,0.003268,0.003268
70,42235.2,1.41928,1.30404,1.63898,0.7364,0.54384,0.62817,0.3592,1.56079,1.2313,1.63664,0.003169,0.003169,0.003169
71,42830.6,1.40793,1.29528,1.63393,0.73264,0.54509,0.62823,0.35955,1.56031,1.23012,1.63858,0.00307,0.00307,0.00307
72,43426.7,1.40386,1.28989,1.63458,0.72924,0.54636,0.62795,0.36075,1.55896,1.22763,1.63738,0.002971,0.002971,0.002971
73,44021.9,1.39968,1.27691,1.63179,0.72559,0.55144,0.62981,0.36119,1.55774,1.22342,1.63614,0.002872,0.002872,0.002872
74,44617.7,1.39416,1.2758,1.62027,0.73037,0.54843,0.63065,0.36205,1.5565,1.22117,1.63354,0.002773,0.002773,0.002773
75,45215,1.40306,1.27407,1.62331,0.72442,0.55175,0.63082,0.36177,1.557,1.21881,1.63226,0.002674,0.002674,0.002674
76,45809.5,1.39072,1.27037,1.61736,0.72366,0.55279,0.63054,0.36212,1.55566,1.21723,1.63128,0.002575,0.002575,0.002575
77,46405.9,1.39766,1.27568,1.62217,0.72723,0.55302,0.63167,0.36243,1.55521,1.21599,1.63005,0.002476,0.002476,0.002476
78,46998.5,1.38678,1.26739,1.61488,0.72827,0.55269,0.63204,0.36299,1.55426,1.21512,1.6289,0.002377,0.002377,0.002377
79,47593.9,1.38482,1.25867,1.60954,0.73308,0.55082,0.63245,0.36344,1.55377,1.21203,1.62804,0.002278,0.002278,0.002278
80,48190.2,1.37993,1.25336,1.61186,0.72171,0.55783,0.63302,0.36382,1.55346,1.21056,1.62784,0.002179,0.002179,0.002179
81,48785.6,1.37656,1.25253,1.60187,0.72549,0.55698,0.63411,0.36429,1.55206,1.20864,1.6267,0.00208,0.00208,0.00208
82,49380.1,1.36699,1.22922,1.59576,0.72642,0.5559,0.63457,0.36465,1.55027,1.20678,1.6246,0.001981,0.001981,0.001981
83,49975.8,1.37102,1.23324,1.59891,0.72493,0.55683,0.63481,0.36567,1.54987,1.20536,1.62333,0.001882,0.001882,0.001882
84,50572.3,1.36947,1.23435,1.59739,0.72538,0.55858,0.63627,0.36608,1.54875,1.2041,1.62205,0.001783,0.001783,0.001783
85,51167.5,1.36986,1.23206,1.59437,0.72958,0.55663,0.63642,0.36631,1.54834,1.2031,1.62103,0.001684,0.001684,0.001684
86,51763.9,1.37404,1.23744,1.596,0.7329,0.55518,0.63699,0.36651,1.54717,1.20274,1.61966,0.001585,0.001585,0.001585
87,52360.5,1.37131,1.23509,1.59344,0.74099,0.55305,0.63769,0.36666,1.54627,1.20116,1.61926,0.001486,0.001486,0.001486
88,52956.3,1.36566,1.22841,1.58681,0.74499,0.55123,0.63743,0.36685,1.54524,1.20012,1.61809,0.001387,0.001387,0.001387
89,53553.1,1.3433,1.21454,1.58227,0.74673,0.54918,0.63675,0.36664,1.54493,1.19883,1.61811,0.001288,0.001288,0.001288
90,54147.8,1.35605,1.20916,1.58426,0.7482,0.54885,0.63685,0.3672,1.5449,1.19747,1.61813,0.001189,0.001189,0.001189
91,54743.1,1.45841,1.14209,1.53335,0.75288,0.54569,0.63684,0.36731,1.54458,1.19594,1.61789,0.00109,0.00109,0.00109
92,55336.6,1.45398,1.13619,1.52885,0.74603,0.54895,0.6373,0.36774,1.54404,1.19468,1.6175,0.000991,0.000991,0.000991
93,55930.4,1.45988,1.12868,1.51658,0.74491,0.55122,0.63806,0.36811,1.54367,1.19374,1.61691,0.000892,0.000892,0.000892
94,56524.4,1.44318,1.11913,1.5247,0.74449,0.5524,0.63824,0.36851,1.54327,1.19282,1.61675,0.000793,0.000793,0.000793
95,57118.6,1.44103,1.11999,1.50954,0.74127,0.55528,0.63838,0.36867,1.5431,1.19148,1.61641,0.000694,0.000694,0.000694
96,57711.6,1.43888,1.11371,1.51294,0.74215,0.55559,0.63876,0.36864,1.54295,1.19046,1.6159,0.000595,0.000595,0.000595
97,58320.1,1.43124,1.10339,1.50387,0.74122,0.55611,0.63889,0.36892,1.54283,1.18992,1.61586,0.000496,0.000496,0.000496
98,58969.8,1.43096,1.10032,1.50316,0.74015,0.55774,0.6392,0.36906,1.54279,1.18956,1.61576,0.000397,0.000397,0.000397
99,59614.4,1.42979,1.09524,1.50106,0.74124,0.55793,0.63951,0.36896,1.54298,1.18929,1.61578,0.000298,0.000298,0.000298
100,60259.8,1.43462,1.09901,1.49783,0.74196,0.55825,0.63977,0.36912,1.54302,1.18876,1.61551,0.000199,0.000199,0.000199
